"STATEFIP","PUMA","lat","lon"
"25","01400","42.45608140831987","-71.46276314995845"
"25","01300","42.59994718037331","-71.20660873264404"
"25","00502","42.63887272107317","-71.3217144002679"
"25","00501","42.6409719256747","-71.43910719105585"
"25","00400","42.563668745981055","-71.93889791173092"
"25","04303","41.91628008422275","-71.12690619992523"
"25","04200","41.87637563971472","-71.2774109766343"
"25","04302","41.71974101358863","-71.1090991273157"
"25","04500","41.65932830185421","-70.91667694466715"
"25","03303","42.312028486306424","-71.05165136209484"
"25","03306","42.39821920378254","-71.00235343918695"
"25","03302","42.3683021087523","-71.0370522872156"
"25","03304","42.30703194761757","-71.08632024195033"
"25","03301","42.35091398508662","-71.13241156490137"
"25","03305","42.2814729161045","-71.13237668543456"
"25","00304","42.09323192341912","-71.8242743358663"
"25","00301","42.565348853276674","-71.83773161514675"
"25","00302","42.303432565874864","-72.02645748354193"
"25","00303","42.283949072400695","-71.66274042948012"
"25","00300","42.27054254612598","-71.80794044982461"
"25","00200","42.53815108106921","-72.63796782055992"
"25","00704","42.474335892075096","-70.95206776186191"
"25","00703","42.679268290630404","-70.82360625130376"
"25","00702","42.701185596451765","-70.98823327878799"
"25","00701","42.757100828903866","-71.13102028306712"
"25","03602","42.187095316275915","-71.1200535357082"
"25","03603","42.2458918589006","-71.0491531382023"
"25","03601","42.091796649766486","-71.32052429744202"
"25","01900","42.11549780088428","-72.53952541267587"
"25","01901","42.117743055422906","-72.71229150490504"
"25","01902","42.12818860575041","-72.48291415734876"
"25","01600","42.21194591757982","-72.61790524450217"
"33","00300","43.305537091065844","-71.04684026186524"
"33","00200","43.7240465666338","-71.35432550126825"
"33","00700","43.01112217655426","-71.43722478110809"
"33","01000","42.93731867996596","-71.02713328684483"
"33","00500","43.11049827228601","-72.23872964471728"
"33","00100","44.32591323145294","-71.5555925927864"
"33","00400","43.2562439549523","-71.66273000437296"
"34","01205","40.04591068423167","-74.10558928171312"
"34","01202","39.929284277339896","-74.19992455626291"
"34","01204","40.03935434310958","-74.38603207251617"
"34","01203","40.05553732016708","-74.1966759501805"
"34","02400","39.34751943592768","-75.05997517294499"
"36","03802","40.81673298117204","-73.95577906267943"
"50","00100","44.68719782902798","-73.0307789164811"
"50","00400","43.58052233056612","-73.08711771719626"
"50","00200","44.58138360884278","-72.24521011415027"
"50","00300","43.51133842602696","-72.56786782405747"
"34","01103","40.27644662033138","-74.02618007929703"
"34","01102","40.21197086926269","-74.40950982812419"
"34","01106","40.24998404880699","-74.2044869157248"
"34","00101","39.475554130827454","-74.48670682081953"
"34","02600","39.15353430961775","-74.80424130894542"
"34","00102","39.485777110288694","-74.73164565441034"
"34","02202","39.69260614688506","-75.13971588348149"
"34","02201","39.80135995723512","-75.12701833976753"
"34","00503","41.07767602558357","-74.33953745429864"
"34","01503","40.88647748713581","-74.38936313170005"
