,STATEFIP,PUMA,PUMA_NAME
169,6,3716,Los Angeles County (East Central)--La Puente & Industry Cities
170,6,3717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities"
171,6,3718,Los Angeles County (Central)--Pasadena City
172,6,3719,Los Angeles County (Central)--Glendale City
173,6,3720,Los Angeles County (Central)--Burbank City
174,6,3721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village)
175,6,3722,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)
176,6,3723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)
177,6,3724,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)
178,6,3725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)"
179,6,3726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities"
180,6,3727,Los Angeles County (Central)--LA City (Central/Pacific Palisades)
181,6,3728,Los Angeles County (Southwest)--Santa Monica City
182,6,3729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles)
183,6,3730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)
184,6,3731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities
185,6,3732,Los Angeles County (Central)--LA City (East Central/Hollywood)
186,6,3733,Los Angeles County (Central)--LA City (Central/Koreatown)
187,6,3734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)"
188,6,3735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)"
189,6,3736,Los Angeles County (Central)--Alhambra & South Pasadena Cities
190,6,3737,Los Angeles County (Central)--Monterey Park & Rosemead Cities
191,6,3738,Los Angeles County (Central)--El Monte & South El Monte Cities
192,6,3739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights
193,6,3740,Los Angeles County (Central)--Pico Rivera & Montebello Cities
194,6,3741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
195,6,3742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park"
196,6,3743,Los Angeles County (Central)--East Los Angeles
197,6,3744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)
198,6,3745,Los Angeles County (Central)--LA City (Southeast/East Vernon)
199,6,3746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)
200,6,3747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)
201,6,3748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities
202,6,3749,Los Angeles County (Central)--Inglewood City
203,6,3750,Los Angeles County (South Central)--LA City (South Central/Westmont)
204,6,3751,Los Angeles County (South Central)--LA City (South Central/Watts)
205,6,3752,Los Angeles County (South)--South Gate & Lynwood Cities
206,6,3753,Los Angeles County (South)--Downey City
207,6,3754,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities
208,6,3755,Los Angeles County (Southeast)--Norwalk City
209,6,3756,Los Angeles County (Southeast)--Bellflower & Paramount Cities
210,6,3757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez
211,6,3758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens"
212,6,3759,Los Angeles County (South Central)--Hawthorne City
213,6,3760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities"
214,6,3761,Los Angeles County (South Central)--Torrance City
215,6,3762,Los Angeles County (South Central)--Carson City
216,6,3763,Los Angeles County (South Central)--Long Beach City (North)
217,6,3764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities"
218,6,3765,Los Angeles County (Southeast)--Long Beach City (East)
219,6,3766,Los Angeles County (South)--Long Beach City (Southwest & Port)
220,6,3767,Los Angeles County (South)--LA City (South/San Pedro)
221,6,3768,Los Angeles County (Southwest)--Palos Verdes Peninsula
222,6,3769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities
223,6,3900,Madera County--Madera City
224,6,4101,Marin County (North & West)--Novato & San Rafael (North) Cities
225,6,4102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities"
